Days,Offset,Comment,UNIX time,Atomic clock error,iOS clock offset
0.000,-0.086,"",1494541220,0.109,-0.098
0.196,-0.863,"",1494558180,0.088,-0.029
0.603,1.380,"",1494593358,0.010,0.002
1.005,0.618,"",1494628019,0.024,0.001
1.273,0.363,"",1494651209,0.030,0.008
1.659,1.704,"",1494684518,0.039,-0.002
2.244,0.984,"",1494735084,0.148,-0.111
2.634,2.002,"",1494768797,0.009,0.002
3.196,0.645,"",1494817324,0.026,0.008
3.606,2.732,"",1494852797,0.034,-0.006
4.193,1.807,"",1494903453,0.099,-0.053
4.591,3.626,"",1494937896,0.101,-0.027
5.215,2.857,"",1494991757,0.025,0.008
5.601,4.402,"",1495025125,0.026,-0.000
6.195,3.668,"",1495076496,0.020,0.012
6.615,5.163,"",1495112739,0.030,-0.006
7.455,4.300,"",1495185360,0.029,-0.002
7.648,5.116,"",1495202049,0.020,0.012
8.261,4.664,"",1495254985,0.051,-0.016
8.684,6.667,"",1495291478,0.041,-0.013
